# EP_MODEL,v5-regime,flag=v5,ship_gate=True
# ARMS,ep=max(floor, affine, dyn_anchor); v5 scales max(affine,dyn_anchor) by m_money*m_pos*m_elite (floor never scaled)
# REGIME,R_now=1.4057,R_bar=2.56783,lambda=0.47699,gamma=0.0,m_money=0.8,m_pos={'QB': 1.0, 'RB': 1.0, 'WR': 1.0, 'TE': 1.0}
# TUNABLES (NOT fitted),m_money_clamp=[0.8, 1.6],m_pos_clamp=[0.85, 1.35],POS_DYN_W={'QB': 1.0, 'WR': 0.9, 'TE': 0.9, 'RB': 0.55},dyn_anchor_$75K,startability_floor_table
# BACKTEST (LOYO 2022-25, credible clears),v4={'mae': 5.595, 'dw_mae': 9.984, 'bias': 0.214, 'n': 126},v5={'mae': 5.421, 'dw_mae': 9.453, 'bias': -0.071, 'n': 126}
# ARM_TRUTH (credible historical clears),{'floor': {'n': 47, 'binding_share': 0.373, 'paid_share': 0.2238, 'mae': 3.426, 'dw_mae': 4.869, 'bias': -0.489}, 'affine': {'n': 76, 'binding_share': 0.6032, 'paid_share': 0.7371, 'mae': 7.0, 'dw_mae': 11.824, 'bias': 0.605}, 'dyn_anchor': {'n': 3, 'binding_share': 0.0238, 'paid_share': 0.039, 'mae': 4.0, 'dw_mae': 4.556, 'bias': 1.333}}
# WARNING,The dynasty-anchor arm binds 73% of the CREDIBLE 2026 board but only 2.4% of credible historical clears (n=3). This is structural, not a sampling accident: franchises do not release high-dynasty players into the FA auction, so the arm that prices most of today's board is essentially UNVALIDATABLE from the archive. POS_DYN_W remains a Keith-tunable judgement call, and the advertised MSE-31/MAE-$3.5K describes the affine arm on ALL clears — a set dominated by $1-2K scrubs — not the number the tool serves on the players you actually bid on.
player,pos,status,owner,dyn_sf_rank,fp_rank,redraft_worth_k,dynasty_worth_k,worth_k,ep_arm_floor_k,ep_arm_affine_k,ep_arm_dyn_anchor_k,ep_arm,m_money,m_pos,m_elite,ep_v4_k,ep_v5_k,ep_k,gap_k,e_apwe_p50,e_apwe_p90,per_apwe,value_ratio,verdict,fit_0008,deal_type,top_competitors
Eli Stowers,TE,rostered,CBP,TE12,TE29,3,16,10,2,5.19,14.4,dyn_anchor,0.8,1.0,1.0,14,12,12,2,0.44,2.09,27.3,0.83,FAIR,DEPTH,1-yr / situational,
Jake Ferguson,TE,rostered,L.A. Looks,TE13,TE12,5,15,10,14,6.87,13.5,floor,0.8,1.0,1.0,14,14,14,4,0.8,4.54,17.5,0.71,FAIR,DEPTH,1-yr / situational,
Isaiah Likely,TE,FA,,TE15,TE14,4,16,10,5,6.03,14.4,dyn_anchor,0.8,1.0,1.0,14,12,5,-5,0.64,4.45,7.8,2.0,VALUE,DEPTH,1-yr / situational,CBP; Gride; L.A. Looks
Travis Kelce,TE,FA,,TE21,TE10,8,12,10,14,9.39,10.8,floor,0.8,1.0,1.0,14,14,14,4,1.25,5.96,11.2,0.71,FAIR,DEPTH,cut-free dart,CBP; Gride; L.A. Looks
RJ Harvey,RB,rostered,Hawks,RB26,RB31,4,14,9,4,6.03,7.7,dyn_anchor,0.8,1.0,1.0,8,6,6,-3,0.69,6.88,8.7,1.5,VALUE,DEPTH,1-yr / situational,
Jaylen Warren,RB,FA,,RB28,RB29,5,13,9,10,6.87,7.15,floor,0.8,1.0,1.0,10,10,10,1,0.74,6.88,13.5,0.9,FAIR,DEPTH,1-yr / situational,CBP; Gride; Hawks
Kyle Monangai,RB,rostered,Gride,RB29,RB33,4,14,9,4,6.03,7.7,dyn_anchor,0.8,1.0,1.0,8,6,6,-3,0.57,6.88,10.5,1.5,VALUE,DEPTH,1-yr / situational,
Chuba Hubbard,RB,FA,,RB34,RB27,6,12,9,10,7.71,6.6,floor,0.8,1.0,1.0,10,10,10,1,0.98,6.88,10.2,0.9,FAIR,DEPTH,1-yr / situational,CBP; Gride; Hawks
Brenton Strange,TE,rostered,Blake Bombers,TE16,TE19,4,14,9,5,6.03,12.6,dyn_anchor,0.8,1.0,1.0,13,10,10,1,0.56,3.13,17.9,0.9,FAIR,DEPTH,multi-year build,
Omar Cooper Jr.,WR,rostered,Blake Bombers,WR37,WR58,1,15,8,5,3.51,13.5,dyn_anchor,0.8,1.0,1.0,14,11,11,3,0.21,4.18,52.4,0.73,FAIR,SURPLUS,1-yr / situational,
Rhamondre Stevenson,RB,FA,,RB31,RB28,5,12,8,10,6.87,6.6,floor,0.8,1.0,1.0,10,10,10,2,0.74,6.88,13.5,0.8,FAIR,DEPTH,1-yr / situational,CBP; Gride; Hawks
Michael Wilson,WR,rostered,Hawks,WR39,WR44,2,14,8,5,4.35,12.6,dyn_anchor,0.8,1.0,1.0,13,10,10,2,0.3,6.42,33.3,0.8,FAIR,SURPLUS,1-yr / situational,
Ricky Pearsall,WR,rostered,CBP,WR40,WR47,2,14,8,5,4.35,12.6,dyn_anchor,0.8,1.0,1.0,13,10,10,2,0.28,5.76,35.7,0.8,FAIR,SURPLUS,1-yr / situational,
Rico Dowdle,RB,rostered,Blake Bombers,RB32,RB32,4,12,8,4,6.03,6.6,dyn_anchor,0.8,1.0,1.0,7,5,5,-3,0.69,6.88,7.2,1.6,VALUE,DEPTH,1-yr / situational,
Wan'Dale Robinson,WR,rostered,Cleon Ca$h,WR42,WR50,2,14,8,5,4.35,12.6,dyn_anchor,0.8,1.0,1.0,13,10,10,2,0.26,5.31,38.5,0.8,FAIR,SURPLUS,1-yr / situational,
Blake Corum,RB,rostered,Blake Bombers,RB33,RB34,3,12,8,4,5.19,6.6,dyn_anchor,0.8,1.0,1.0,7,5,5,-3,0.41,6.88,12.2,1.6,VALUE,DEPTH,1-yr / situational,
Denzel Boston,WR,rostered,Blake Bombers,WR45,WR63,1,14,8,2,3.51,12.6,dyn_anchor,0.8,1.0,1.0,13,10,10,2,0.19,3.62,52.6,0.8,FAIR,SURPLUS,1-yr / situational,
Xavier Worthy,WR,rostered,Hawks,WR46,WR45,2,13,8,5,4.35,11.7,dyn_anchor,0.8,1.0,1.0,12,9,9,1,0.29,6.42,31.0,0.89,FAIR,SURPLUS,1-yr / situational,
Tony Pollard,RB,FA,,RB36,RB30,4,11,8,10,6.03,6.05,floor,0.8,1.0,1.0,10,10,10,2,0.69,6.88,14.5,0.8,FAIR,DEPTH,1-yr rental / flip,CBP; Gride; Hawks
Michael Pittman Jr.,WR,FA,,WR48,WR48,2,13,8,5,4.35,11.7,dyn_anchor,0.8,1.0,1.0,12,9,5,-3,0.27,5.76,18.5,1.6,VALUE,SURPLUS,1-yr rental / flip,L.A. Looks; Hawks; Sex Manther
Tua Tagovailoa,QB,rostered,C-Town Chivalry,QB28,QB31,3,12,8,12,5.19,12.0,floor,0.8,1.0,1.0,12,12,12,4,0.41,7.91,29.3,0.67,FAIR,NEED-STUD,1-yr / situational,
Jayden Higgins,WR,rostered,Sex Manther,WR49,WR53,2,14,8,5,4.35,12.6,dyn_anchor,0.8,1.0,1.0,13,10,10,2,0.24,4.18,41.7,0.8,FAIR,SURPLUS,1-yr / situational,
Josh Downs,WR,rostered,The Long Haulers,WR50,WR43,2,14,8,5,4.35,12.6,dyn_anchor,0.8,1.0,1.0,13,10,10,2,0.36,6.42,27.8,0.8,FAIR,SURPLUS,1-yr / situational,
Jonathon Brooks,RB,rostered,Sex Manther,RB38,RB37,2,13,8,4,4.35,7.15,dyn_anchor,0.8,1.0,1.0,7,6,6,-2,0.36,6.88,16.7,1.33,VALUE,DEPTH,1-yr / situational,
Ty Simpson,QB,rostered,Blake Bombers,QB30,QB44,2,15,8,2,4.35,15.0,dyn_anchor,0.8,1.0,1.0,15,12,12,4,0.3,0.52,40.0,0.67,FAIR,NEED-STUD,1-yr / situational,
Matthew Golden,WR,rostered,Blake Bombers,WR52,WR49,2,14,8,5,4.35,12.6,dyn_anchor,0.8,1.0,1.0,13,10,10,2,0.26,5.31,38.5,0.8,FAIR,SURPLUS,cut-free dart,
Dallas Goedert,TE,rostered,Real Deal Creel,TE17,TE15,4,12,8,5,6.03,10.8,dyn_anchor,0.8,1.0,1.0,11,9,9,1,0.62,4.25,14.5,0.89,FAIR,DEPTH,cut-free dart,
Michael Penix Jr.,QB,rostered,HammerTime 🔨 ⏰,QB31,QB33,3,12,8,6,5.19,12.0,dyn_anchor,0.8,1.0,1.0,12,10,10,2,0.39,6.25,25.6,0.8,FAIR,NEED-STUD,cut-free dart,
Mark Andrews,TE,FA,,TE18,TE11,5,12,8,14,6.87,10.8,floor,0.8,1.0,1.0,14,14,14,6,0.8,4.66,17.5,0.57,FAIR,DEPTH,cut-free dart,CBP; Gride; L.A. Looks
Chris Godwin Jr.,WR,rostered,Blake Bombers,WR54,WR42,4,11,8,5,6.03,9.9,dyn_anchor,0.8,1.0,1.0,10,8,8,0,0.57,6.66,14.0,1.0,FAIR,SURPLUS,cut-free dart,
Chig Okonkwo,TE,FA,,TE19,TE17,4,12,8,5,6.03,10.8,dyn_anchor,0.8,1.0,1.0,11,9,5,-3,0.59,4.24,8.5,1.6,VALUE,DEPTH,cut-free dart,CBP; Gride; L.A. Looks
Jacoby Brissett,QB,FA,,QB33,QB30,5,10,8,12,6.87,10.0,floor,0.8,1.0,1.0,12,12,12,4,0.7,8.06,17.1,0.67,FAIR,NEED-STUD,cut-free dart,Hawks; Gride; CBP
Geno Smith,QB,rostered,HammerTime 🔨 ⏰,QB34,QB29,6,9,8,12,7.71,9.0,floor,0.8,1.0,1.0,12,12,12,4,0.86,9.2,14.0,0.67,FAIR,NEED-STUD,cut-free dart,
AJ Barner,TE,rostered,Blake Bombers,TE20,TE24,3,12,8,2,5.19,10.8,dyn_anchor,0.8,1.0,1.0,11,9,9,1,0.49,2.09,18.4,0.89,FAIR,DEPTH,cut-free dart,
Zach Charbonnet,RB,rostered,L.A. Looks,RB30,RB48,2,12,7,4,4.35,6.6,dyn_anchor,0.8,1.0,1.0,7,5,5,-2,0.27,1.84,18.5,1.4,VALUE,DEPTH,1-yr / situational,
Jonah Coleman,RB,rostered,CBP,RB35,RB47,2,12,7,4,4.35,6.6,dyn_anchor,0.8,1.0,1.0,7,5,5,-2,0.28,1.84,17.9,1.4,VALUE,DEPTH,1-yr / situational,
Jakobi Meyers,WR,rostered,Hawks,WR51,WR46,2,12,7,5,4.35,10.8,dyn_anchor,0.8,1.0,1.0,11,9,9,2,0.28,5.93,32.1,0.78,FAIR,SURPLUS,1-yr / situational,
Aaron Rodgers,QB,FA,,QB37,QB28,6,8,7,12,7.71,8.0,floor,0.8,1.0,1.0,12,12,12,5,0.86,9.2,14.0,0.58,FAIR,NEED-STUD,cut-free dart,Hawks; Gride; CBP
Terrance Ferguson,TE,rostered,Blake Bombers,TE22,TE30,3,11,7,2,5.19,9.9,dyn_anchor,0.8,1.0,1.0,10,8,8,1,0.43,2.02,18.6,0.88,FAIR,DEPTH,cut-free dart,
T.J. Hockenson,TE,rostered,HammerTime 🔨 ⏰,TE23,TE22,3,11,7,2,5.19,9.9,dyn_anchor,0.8,1.0,1.0,10,8,8,1,0.52,2.09,15.4,0.88,FAIR,DEPTH,cut-free dart,
Juwan Johnson,TE,FA,,TE24,TE20,4,10,7,5,6.03,9.0,dyn_anchor,0.8,1.0,1.0,9,7,5,-2,0.55,3.13,9.1,1.4,VALUE,DEPTH,cut-free dart,CBP; Gride; L.A. Looks
Gunnar Helm,TE,FA,,TE25,TE25,3,11,7,2,5.19,9.9,dyn_anchor,0.8,1.0,1.0,10,8,3,-4,0.48,2.09,6.2,2.33,VALUE,DEPTH,cut-free dart,CBP; Gride; L.A. Looks
Hunter Henry,TE,FA,,TE26,TE18,4,10,7,5,6.03,9.0,dyn_anchor,0.8,1.0,1.0,9,7,5,-2,0.57,3.13,8.8,1.4,VALUE,DEPTH,cut-free dart,CBP; Gride; L.A. Looks
Kenneth Gainwell,RB,FA,,RB37,,0,11,6,0,2.67,6.05,dyn_anchor,0.8,1.0,1.0,6,5,2,-4,0.0,0.0,,3.0,VALUE,DEPTH,1-yr / situational,CBP; Gride; Hawks
J.K. Dobbins,RB,rostered,Hawks,RB39,RB35,2,11,6,4,4.35,6.05,dyn_anchor,0.8,1.0,1.0,6,5,5,-1,0.38,6.88,13.2,1.2,VALUE,DEPTH,1-yr / situational,
Tyler Allgeier,RB,FA,,RB40,RB49,2,9,6,2,4.35,4.95,dyn_anchor,0.8,1.0,1.0,5,4,2,-4,0.26,1.84,7.7,3.0,VALUE,DEPTH,cut-free dart,CBP; Gride; Hawks
Tyrone Tracy Jr.,RB,rostered,C-Town Chivalry,RB41,RB43,2,9,6,4,4.35,4.95,dyn_anchor,0.8,1.0,1.0,5,4,4,-2,0.31,3.4,12.9,1.5,VALUE,DEPTH,cut-free dart,
Jacory Croskey-Merritt,RB,rostered,Sex Manther,RB42,RB40,2,10,6,4,4.35,5.5,dyn_anchor,0.8,1.0,1.0,6,4,4,-2,0.33,6.88,12.1,1.5,VALUE,DEPTH,cut-free dart,
Woody Marks,RB,rostered,The Long Haulers,RB43,RB45,2,9,6,4,4.35,4.95,dyn_anchor,0.8,1.0,1.0,5,4,4,-2,0.29,1.84,13.8,1.5,VALUE,DEPTH,cut-free dart,
Rachaad White,RB,FA,,RB44,RB38,2,11,6,4,4.35,6.05,dyn_anchor,0.8,1.0,1.0,6,5,4,-2,0.35,6.88,11.4,1.5,VALUE,DEPTH,cut-free dart,CBP; Gride; Hawks
Nicholas Singleton,RB,rostered,Cleon Ca$h,RB45,RB56,1,10,6,2,3.51,5.5,dyn_anchor,0.8,1.0,1.0,6,4,4,-2,0.22,1.59,18.2,1.5,VALUE,DEPTH,cut-free dart,
Jordan Mason,RB,rostered,The Long Haulers,RB46,RB41,2,9,6,4,4.35,4.95,dyn_anchor,0.8,1.0,1.0,5,4,4,-2,0.32,6.88,12.5,1.5,VALUE,DEPTH,cut-free dart,
Dylan Sampson,RB,rostered,L.A. Looks,RB48,RB53,2,9,6,2,4.35,4.95,dyn_anchor,0.8,1.0,1.0,5,4,4,-2,0.24,1.61,16.7,1.5,VALUE,DEPTH,cut-free dart,
Chris Rodriguez Jr.,RB,rostered,Blake Bombers,RB49,RB42,2,9,6,4,4.35,4.95,dyn_anchor,0.8,1.0,1.0,5,4,4,-2,0.31,6.49,12.9,1.5,VALUE,DEPTH,cut-free dart,
Travis Hunter,WR,rostered,Sex Manther,WR56,,0,13,6,0,2.67,11.7,dyn_anchor,0.8,1.0,1.0,12,9,9,3,0.0,0.0,,0.67,FAIR,SURPLUS,cut-free dart,
Khalil Shakir,WR,rostered,Cleon Ca$h,WR58,WR54,1,11,6,5,3.51,9.9,dyn_anchor,0.8,1.0,1.0,10,8,8,2,0.23,4.18,34.8,0.75,FAIR,SURPLUS,cut-free dart,
Romeo Doubs,WR,FA,,WR59,WR51,2,11,6,5,4.35,9.9,dyn_anchor,0.8,1.0,1.0,10,8,5,-1,0.25,5.31,20.0,1.2,VALUE,SURPLUS,cut-free dart,L.A. Looks; Hawks; Sex Manther
Jalen Coker,WR,rostered,L.A. Looks,WR60,WR55,1,11,6,5,3.51,9.9,dyn_anchor,0.8,1.0,1.0,10,8,8,2,0.23,4.18,34.8,0.75,FAIR,SURPLUS,cut-free dart,
Antonio Williams,WR,rostered,Gride,WR61,WR66,1,11,6,2,3.51,9.9,dyn_anchor,0.8,1.0,1.0,10,8,8,2,0.17,3.3,47.1,0.75,FAIR,SURPLUS,cut-free dart,
Chris Bell,WR,rostered,Gride,WR62,WR89,1,11,6,2,3.51,9.9,dyn_anchor,0.8,1.0,1.0,10,8,8,2,0.12,0.03,66.7,0.75,FAIR,SURPLUS,cut-free dart,
Rashid Shaheed,WR,rostered,Blake Bombers,WR63,WR57,1,10,6,5,3.51,9.0,dyn_anchor,0.8,1.0,1.0,9,7,7,1,0.22,4.18,31.8,0.86,FAIR,SURPLUS,cut-free dart,
Germie Bernard,WR,rostered,The Long Haulers,WR64,WR73,1,10,6,2,3.51,9.0,dyn_anchor,0.8,1.0,1.0,9,7,7,1,0.15,1.28,46.7,0.86,FAIR,SURPLUS,cut-free dart,
Jalen McMillan,WR,rostered,Cleon Ca$h,WR65,WR59,1,11,6,5,3.51,9.9,dyn_anchor,0.8,1.0,1.0,10,8,8,2,0.21,4.18,38.1,0.75,FAIR,SURPLUS,cut-free dart,
Tre' Harris,WR,rostered,Cleon Ca$h,WR68,WR67,1,10,6,2,3.51,9.0,dyn_anchor,0.8,1.0,1.0,9,7,7,1,0.17,2.5,41.2,0.86,FAIR,SURPLUS,cut-free dart,
De'Zhaun Stribling,WR,rostered,Real Deal Creel,WR74,WR68,1,10,6,2,3.51,9.0,dyn_anchor,0.8,1.0,1.0,9,7,7,1,0.16,2.5,43.8,0.86,FAIR,SURPLUS,cut-free dart,
J.J. McCarthy,QB,rostered,Cleon Ca$h,QB32,QB37,2,11,6,6,4.35,11.0,dyn_anchor,0.8,1.0,1.0,11,9,9,3,0.36,4.08,25.0,0.67,FAIR,NEED-STUD,cut-free dart,
Shedeur Sanders,QB,rostered,Gride,QB35,QB34,2,11,6,6,4.35,11.0,dyn_anchor,0.8,1.0,1.0,11,9,9,3,0.38,6.15,23.7,0.67,FAIR,NEED-STUD,cut-free dart,
Mac Jones,QB,FA,,QB38,QB41,2,9,6,2,4.35,9.0,dyn_anchor,0.8,1.0,1.0,9,7,3,-3,0.32,0.78,9.4,2.0,VALUE,NEED-STUD,cut-free dart,Hawks; Gride; CBP
Deshaun Watson,QB,rostered,Real Deal Creel,QB40,QB32,3,8,6,12,5.19,8.0,floor,0.8,1.0,1.0,12,12,12,6,0.4,7.91,30.0,0.5,FAIR,NEED-STUD,cut-free dart,
Max Klare,TE,rostered,Pure Greatness,TE27,TE52,2,9,6,2,4.35,8.1,dyn_anchor,0.8,1.0,1.0,8,6,6,0,0.25,0.01,24.0,1.0,FAIR,DEPTH,cut-free dart,
Mason Taylor,TE,rostered,HammerTime 🔨 ⏰,TE28,TE43,2,9,6,2,4.35,8.1,dyn_anchor,0.8,1.0,1.0,8,6,6,0,0.31,0.01,19.4,1.0,FAIR,DEPTH,cut-free dart,
Eli Raridon,TE,rostered,Blake Bombers,TE29,TE42,2,9,6,2,4.35,8.1,dyn_anchor,0.8,1.0,1.0,8,6,6,0,0.31,0.01,19.4,1.0,FAIR,DEPTH,cut-free dart,
Dalton Schultz,TE,rostered,Pure Greatness,TE30,TE23,3,9,6,2,5.19,8.1,dyn_anchor,0.8,1.0,1.0,8,6,6,0,0.51,2.09,11.8,1.0,FAIR,DEPTH,cut-free dart,
David Njoku,TE,rostered,Gride,TE32,TE31,3,9,6,2,5.19,8.1,dyn_anchor,0.8,1.0,1.0,8,6,6,0,0.41,0.98,14.6,1.0,FAIR,DEPTH,cut-free dart,
Pat Freiermuth,TE,FA,,TE33,TE28,3,9,6,2,5.19,8.1,dyn_anchor,0.8,1.0,1.0,8,6,3,-3,0.45,2.09,6.7,2.0,VALUE,DEPTH,cut-free dart,CBP; Gride; L.A. Looks
Cade Otton,TE,rostered,The Long Haulers,TE34,TE27,3,9,6,2,5.19,8.1,dyn_anchor,0.8,1.0,1.0,8,6,6,0,0.46,2.09,13.0,1.0,FAIR,DEPTH,cut-free dart,
Greg Dulcich,TE,FA,,TE37,TE26,3,9,6,2,5.19,8.1,dyn_anchor,0.8,1.0,1.0,8,6,3,-3,0.47,2.09,6.4,2.0,VALUE,DEPTH,cut-free dart,CBP; Gride; L.A. Looks
Aaron Jones Sr.,RB,FA,,RB51,RB39,2,8,5,4,4.35,4.4,dyn_anchor,0.8,1.0,1.0,4,4,4,-1,0.34,6.88,11.8,1.25,VALUE,DEPTH,cut-free dart,CBP; Gride; Hawks
Isiah Pacheco,RB,FA,,RB52,RB46,2,8,5,4,4.35,4.4,dyn_anchor,0.8,1.0,1.0,4,4,4,-1,0.28,1.84,14.3,1.25,VALUE,DEPTH,cut-free dart,CBP; Gride; Hawks
Tyjae Spears,RB,rostered,The Long Haulers,RB53,RB50,2,8,5,2,4.35,4.4,dyn_anchor,0.8,1.0,1.0,4,4,4,-1,0.26,1.82,15.4,1.25,VALUE,DEPTH,cut-free dart,
Brian Robinson Jr.,RB,FA,,RB56,RB51,2,8,5,2,4.35,4.4,dyn_anchor,0.8,1.0,1.0,4,4,2,-3,0.25,1.61,8.0,2.5,VALUE,DEPTH,cut-free dart,CBP; Gride; Hawks
Keaton Mitchell,RB,rostered,CBP,RB58,RB44,2,8,5,4,4.35,4.4,dyn_anchor,0.8,1.0,1.0,4,4,4,-1,0.3,2.21,13.3,1.25,VALUE,DEPTH,cut-free dart,
Tank Bigsby,RB,rostered,L.A. Looks,RB59,RB52,2,8,5,2,4.35,4.4,dyn_anchor,0.8,1.0,1.0,4,4,4,-1,0.25,1.61,16.0,1.25,VALUE,DEPTH,cut-free dart,
Jauan Jennings,WR,rostered,L.A. Looks,WR66,WR60,1,9,5,5,3.51,8.1,dyn_anchor,0.8,1.0,1.0,8,6,6,1,0.2,4.18,30.0,0.83,FAIR,SURPLUS,cut-free dart,
Elijah Sarratt,WR,rostered,Pure Greatness,WR71,WR82,1,9,5,2,3.51,8.1,dyn_anchor,0.8,1.0,1.0,8,6,6,1,0.12,0.03,50.0,0.83,FAIR,SURPLUS,cut-free dart,
Jaylin Noel,WR,rostered,Sex Manther,WR73,WR85,1,9,5,2,3.51,8.1,dyn_anchor,0.8,1.0,1.0,8,6,6,1,0.12,0.03,50.0,0.83,FAIR,SURPLUS,cut-free dart,
Malachi Fields,WR,rostered,The Long Haulers,WR79,WR91,1,9,5,2,3.51,8.1,dyn_anchor,0.8,1.0,1.0,8,6,6,1,0.12,0.03,50.0,0.83,FAIR,SURPLUS,cut-free dart,
Zachariah Branch,WR,rostered,Cleon Ca$h,WR80,WR70,1,9,5,2,3.51,8.1,dyn_anchor,0.8,1.0,1.0,8,6,6,1,0.16,1.95,37.5,0.83,FAIR,SURPLUS,cut-free dart,
Adonai Mitchell,WR,rostered,The Long Haulers,WR81,WR72,1,9,5,2,3.51,8.1,dyn_anchor,0.8,1.0,1.0,8,6,6,1,0.15,1.28,40.0,0.83,FAIR,SURPLUS,cut-free dart,
Isaac TeSlaa,WR,rostered,Cleon Ca$h,WR83,WR69,1,9,5,2,3.51,8.1,dyn_anchor,0.8,1.0,1.0,8,6,6,1,0.16,2.5,37.5,0.83,FAIR,SURPLUS,cut-free dart,
Carson Beck,QB,rostered,The Long Haulers,QB36,QB36,2,8,5,6,4.35,8.0,dyn_anchor,0.8,1.0,1.0,8,6,6,1,0.37,4.08,16.2,0.83,FAIR,NEED-STUD,cut-free dart,
Oscar Delp,TE,rostered,Sex Manther,TE31,TE41,2,8,5,2,4.35,7.2,dyn_anchor,0.8,1.0,1.0,7,6,6,1,0.32,0.01,18.8,0.83,FAIR,DEPTH,cut-free dart,
Elijah Arroyo,TE,rostered,Cleon Ca$h,TE35,TE45,2,8,5,2,4.35,7.2,dyn_anchor,0.8,1.0,1.0,7,6,6,1,0.29,0.01,20.7,0.83,FAIR,DEPTH,cut-free dart,
Brandon Aiyuk,WR,FA,,WR38,WR75,1,8,4,2,3.51,7.2,dyn_anchor,0.8,1.0,1.0,7,6,3,-1,0.14,1.28,21.4,1.33,VALUE,SURPLUS,1-yr / situational,L.A. Looks; Hawks; Sex Manther
Anthony Richardson Sr.,QB,rostered,HammerTime 🔨 ⏰,QB29,QB39,2,7,4,6,4.35,7.0,dyn_anchor,0.8,1.0,1.0,7,6,6,2,0.34,1.05,17.6,0.67,FAIR,NEED-STUD,1-yr / situational,
Emmett Johnson,RB,rostered,L.A. Looks,RB47,RB57,1,8,4,2,3.51,4.4,dyn_anchor,0.8,1.0,1.0,4,4,4,0,0.22,1.59,18.2,1.0,FAIR,DEPTH,cut-free dart,
Kaytron Allen,RB,rostered,Blake Bombers,RB50,RB59,1,8,4,2,3.51,4.4,dyn_anchor,0.8,1.0,1.0,4,4,4,0,0.21,1.54,19.0,1.0,FAIR,DEPTH,cut-free dart,
Mike Washington Jr.,RB,rostered,The Long Haulers,RB54,RB58,1,7,4,2,3.51,3.85,dyn_anchor,0.8,1.0,1.0,4,3,3,-1,0.21,1.59,14.3,1.33,VALUE,DEPTH,cut-free dart,
Braelon Allen,RB,rostered,L.A. Looks,RB55,RB61,1,8,4,2,3.51,4.4,dyn_anchor,0.8,1.0,1.0,4,4,4,0,0.2,1.24,20.0,1.0,FAIR,DEPTH,cut-free dart,
Alvin Kamara,RB,FA,,RB57,RB55,1,7,4,2,3.51,3.85,dyn_anchor,0.8,1.0,1.0,4,3,2,-2,0.23,1.61,8.7,2.0,VALUE,DEPTH,cut-free dart,CBP; Gride; Hawks
Kaleb Johnson,RB,rostered,Hawks,RB60,RB86,1,7,4,2,3.51,3.85,dyn_anchor,0.8,1.0,1.0,4,3,3,-1,0.12,0.42,25.0,1.33,VALUE,DEPTH,cut-free dart,
Trey Benson,RB,FA,,RB61,RB83,1,6,4,2,3.51,3.3,affine,0.8,1.0,1.0,4,3,2,-2,0.12,0.42,16.7,2.0,VALUE,DEPTH,cut-free dart,CBP; Gride; Hawks
Kimani Vidal,RB,rostered,Gride,RB62,RB69,1,7,4,2,3.51,3.85,dyn_anchor,0.8,1.0,1.0,4,3,3,-1,0.16,0.85,18.8,1.33,VALUE,DEPTH,cut-free dart,
Demond Claiborne,RB,rostered,HammerTime 🔨 ⏰,RB64,RB66,1,6,4,2,3.51,3.3,affine,0.8,1.0,1.0,4,3,3,-1,0.17,0.85,17.6,1.33,VALUE,DEPTH,cut-free dart,
Ollie Gordon II,RB,rostered,The Long Haulers,RB66,RB80,1,6,4,2,3.51,3.3,affine,0.8,1.0,1.0,4,3,3,-1,0.12,0.42,25.0,1.33,VALUE,DEPTH,cut-free dart,
Jaylen Wright,RB,rostered,C-Town Chivalry,RB67,RB74,1,6,4,2,3.51,3.3,affine,0.8,1.0,1.0,4,3,3,-1,0.14,0.84,21.4,1.33,VALUE,DEPTH,cut-free dart,
Sean Tucker,RB,rostered,Sex Manther,RB68,RB54,1,6,4,2,3.51,3.3,affine,0.8,1.0,1.0,4,3,3,-1,0.23,1.61,13.0,1.33,VALUE,DEPTH,cut-free dart,
Ray Davis,RB,rostered,C-Town Chivalry,RB69,RB60,1,6,4,2,3.51,3.3,affine,0.8,1.0,1.0,4,3,3,-1,0.2,1.24,15.0,1.33,VALUE,DEPTH,cut-free dart,
Kaelon Black,RB,rostered,Hawks,RB72,RB68,1,6,4,2,3.51,3.3,affine,0.8,1.0,1.0,4,3,3,-1,0.16,0.85,18.8,1.33,VALUE,DEPTH,cut-free dart,
Jordan James,RB,rostered,Sex Manther,RB73,RB64,1,6,4,2,3.51,3.3,affine,0.8,1.0,1.0,4,3,3,-1,0.18,0.85,16.7,1.33,VALUE,DEPTH,cut-free dart,
Jaydon Blue,RB,rostered,The Long Haulers,RB75,RB63,1,6,4,2,3.51,3.3,affine,0.8,1.0,1.0,4,3,3,-1,0.19,0.85,15.8,1.33,VALUE,DEPTH,cut-free dart,
MarShawn Lloyd,RB,rostered,Sex Manther,RB77,RB62,1,6,4,2,3.51,3.3,affine,0.8,1.0,1.0,4,3,3,-1,0.19,0.95,15.8,1.33,VALUE,DEPTH,cut-free dart,
Tyreek Hill,WR,FA,,WR57,WR86,1,8,4,2,3.51,7.2,dyn_anchor,0.8,1.0,1.0,7,6,3,-1,0.12,0.03,25.0,1.33,VALUE,SURPLUS,cut-free dart,L.A. Looks; Hawks; Sex Manther
Chris Brazzell II,WR,rostered,Gride,WR67,WR88,1,7,4,2,3.51,6.3,dyn_anchor,0.8,1.0,1.0,6,5,5,1,0.12,0.03,41.7,0.8,FAIR,SURPLUS,cut-free dart,
